"Name","GP","MIN","PTS","FGM","FGA","FG.","X3P.Made","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","STL","BLK","TOV","TARGET_5Yrs","Year_Drafted","Team","Win_Perc","Year_Debut","Round_Drafted_1","Round_Drafted_2","Round_Drafted_3","Round_Drafted_4","Round_Drafted_5","Round_Drafted_6","Round_Drafted_7","Round_Drafted_8","Round_Drafted_10","Round_Drafted_Undrafted","Position_Center","Position_Point guard","Position_Power forward","Position_Shooting guard","Position_Small forward"
"Brandon Ingram",36,27.4,7.4,2.6,7.6,34.7,0.5,2.1,25,1.6,2.3,69.9,0.7,3.4,4.1,1.9,0.4,0.4,1.3,0,2016,"Los Angeles Lakers",0.317,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Andrew Harrison",35,26.9,7.2,2,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2,2.4,3.7,1.1,0.5,1.6,0,2015,"Phoenix Suns",0.28,2015,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"JaKarr Sampson",74,15.3,5.2,2,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67,0.5,1.7,2.2,1,0.5,0.3,1,0,2014,"Philadelphia 76ers",0.22,2014,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Malik Sealy",58,11.6,5.7,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1,0.9,1.9,0.8,0.6,0.1,1,1,1992,"Indiana Pacers",0.5,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Matt Geiger",48,11.5,4.5,1.6,3,52.4,0,0.1,0,1.3,1.9,67.4,1,1.5,2.5,0.3,0.3,0.4,0.8,1,1992,"Miami Heat",0.439,1992,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Anthony Bennett",75,11.4,3.7,1.5,3.5,42.3,0.3,1.1,32.5,0.4,0.5,73.2,0.2,0.7,0.8,1.8,0.4,0,0.7,0,2013,"Cleveland Cavaliers",0.402,2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Don MacLean",62,10.9,6.6,2.5,5.8,43.5,0,0.1,50,1.5,1.8,81.1,0.5,1.4,2,0.6,0.2,0.1,0.7,1,1992,"Washington Wizards",0.268,1992,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tracy Murray",48,10.3,5.7,2.3,5.4,41.5,0.4,1.5,30,0.7,0.8,87.5,0.8,0.9,1.7,0.2,0.2,0.1,0.7,1,1992,"San Antonio Spurs",0.598,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Duane Cooper",65,9.9,2.4,1,2.4,39.2,0.1,0.5,23.3,0.4,0.5,71.4,0.2,0.6,0.8,2.3,0.3,0,1.1,0,1992,"Los Angeles Lakers",0.476,1992,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Dave Johnson",42,8.5,3.7,1.4,3.5,38.3,0.1,0.3,21.4,1,1.4,67.8,0.4,0.7,1.1,0.3,0.2,0,0.7,0,1992,"Portland Trail Blazers",0.622,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
